comment_id,用戶名稱,留言內容,留言時間
214,Cathyyi Hu,當兵是身為男性國民的義務與權利，,我們彼時想當還沒機會；即使到今天也沒有可能！
215,Jeremy Wang,統戰藝人就是這種水平,38週
216,Andy Lu,當兵是有多可怕逆?,38週
217,RA Da,有個道理： 壞胚子必須早日銷毀,38週
218,安份,靠負面紅的藝人,38週
219,葉明杰,垃圾,38週
220,楊鎮銘,葉明杰,竟然在此看到你笑死
221,夏笭,什麼辣雞玩意,38週
222,Harvey Chen,［我的逃兵時代］跟［我的逃獄時代］，哪一部會先上映呢？,38週
223,阮大常,幹你娘 躲好 有兄弟要痛扁你一頓,媽的 柯震東也一起扁 肏 垃圾
224,陳德龍,跩啥 酸民等的就是這個機會 爛咖下去囉,38週
225,黃新益,太囂張了連老天也看不過去，才會把這原本已隱沒的事情又翻了出來，去牢裡好好反省吧！,38週
226,汪讚讚,敗類,38週
227,陳風,恭喜.與空幹王並列劣跡藝人.無法回中國撈錢了!!,38週
228,林志洋,殺人未遂還在那邊說什麼讓生命發光 是火化時發出的光嗎？,38週
229,林志恆,林志洋,38週
230,鍾煉澤,丟臉死了,38週
231,Jay Chin,看到這麼多人罵你，是不是又要教唆打人了？廢材還那麼多人追蹤,38週
232,慕容隆,小朋友，真的要弄不要張揚，默默記車牌，弄了之後也不要存影片證明自己弄過，現在被弄了吼！你沒事在車前面拍照是怕人家沒機會弄你嗎？,38週
233,楊媚妹,大陸仔,38週
234,Jeng Steven,王大陸昔「拿鐵鎚砸計程車」凶狠片段被翻出！網酸：本色演出,m
235,Wang kai xuan,像極了軍犬多博曼的盧泰南,38週
236,Zu Yen Lee,先去牢裡面讓你的菊花發光吧 哈哈哈,38週
237,羅森,要不要出來單挑？垃圾,38週
238,張家輝,給你滿滿的王家拳,38週
239,Hsu Chih Ming,逃兵 打司機 真猛,38週
240,喬元堯,去監獄好好反省,38週
241,李家席,直接黑名單了欸,38週
242,朕很直白,聽說監獄出來會變胖，當兵不會，懂享受喔～,38週
243,Ed Chan,哎喲，殺人未遂，失德藝人。,回去大陸還能有job嗎？ lol
244,廖淯竣,活著真是浪費空氣了,38週
245,Lain Chen,Miki Ida,監獄風雲3終於等到了
246,王泊,新聞報導￼ 王大陸還牽扯黑幫涉及暴力討債 原來演藝圈人家所謂的男神是這樣的社會敗類￼￼,38週
247,林冠宏,不要臉,38週
248,許建勳,為了逃避當兵，選擇坐牢，我佩服,38週
249,王布林,你最好是出來開記者會下跪道歉！ 混蛋！,38週
250,王布林,你改名叫王中指好了，坐牢去吧你.....,38週
251,Louis Lin,可以滾回大陸嗎,38週
252,Chen Chun Tai,你以為你很帥嗎？你肯定沒我帥，應為老子還當過兵,38週
253,Li L Justin,如果司機反擊王大陸,算不算一種反攻大陸
254,Yvette Jseng,入伍跟入獄你選擇了入獄 棒棒,38週
255,Domia Mui,全香港人都笑你，誰叫你叫（大陸）兩個字,38週
256,葉家宏,藝人王大陸 最新電影巨作,台版監獄風雲2025
257,Wei Ho,素質很差的藝人,38週
258,Mo He,太好了，你這道菜涼了,38週
259,陳裕展,為什麼不學安佐約擂台PK,要這樣絡人多P
260,伝說,以前有個女的跟一個日本人打司機…,後來演藝生涯全毀了！
261,隱藏版,你這也不行啊,38週
262,王尚行,譴責暴力。,38週
263,Edison Situ,你都有今天了，接受“迷妹”们不少进贡了吧？看你认识的都是一些为富不仁的人，多行不义必自毙！,38週
264,王品,等你悲慘的下場，在囂張啊！,38週
265,張世忠,就你事最多,38週
266,Bin LerDen,無卵蛋真沒用！無卵蛋真沒用！無卵蛋真沒用！,38週
267,Dan Taylor,原來是垃圾一件,38週
268,洪禮仁,什麼？你不會開特斯拉車門？,沒關係，反正你很快就要去內籬阿給人開後門了
269,李澤,....你好假喔,38週
270,Jeremy Wu,涉殺人未遂喔？？？,太垃圾了吧
271,羅啟強,·,追蹤
272,Lan NowChen,垃圾支那賤畜,38週
273,Rtope Ko,加油 王大陸，你沒錯,38週
274,Emma Kao,下次要好好開喔,38週
275,林奕辰,可悲,38週
276,鄭詩諭,·,追蹤
277,陳偉育,從你出道,就覺得
278,潘順德,你這個逃兵犯又教唆黑幫打司機，比中指，像你這種爛咖有臉就退出演藝圈，台灣不需要你這種臭俗辣！,38週
279,Durben AndCarly,洞八洞洞連集合場集合！跑ㄠ起來！要多久啊！還動啊你！,38週
280,羋米尤,原來是流氓 還以為是藝人呢,38週
281,Rtope Ko,羋米尤,加油 王大陸，你沒錯
282,黃朝淵,·,追蹤
283,Rtope Ko,黃朝淵,加油 王大陸，你沒錯
284,丁鵬鈞,大嘴男快滾吧,38週
285,王志賢,找別人去打人 沒種下流！,逃兵 沒榮譽廉恥心！
286,Alvin Huang,你爸當年 怎沒把你射進你媽嘴裡 幹 狗雜碎,38週
287,洪逸翔,屁孩⋯,38週
288,Furby Chen,沒有看過這麼噁心的東西 請不要在FB出現 請盡早去死,38週
289,陳凱傑,操你媽勒王大陸教唆殺人操 幹你娘白痴一個你爸怎麼教的,38週
290,Rtope Ko,陳凱傑,加油 王大陸，你沒錯
291,蕭旗豪,可以跟邱軍一起手牽手去做工了,38週
292,甘安捏,你很大尾嗎？,38週
293,蕭旗豪,沒有多紅整個人都大型了,38週
294,Hsing Fan,大陸派喔,38週
295,Nayo Lin,你是真垃圾,38週
296,金誠武,王大陸,廢物，去給狗幹
297,賴佳宇,這平台越來越大,38週
298,金誠武,去給狗幹啦！ 我跟你單挑,38週
299,艾雷特,我是來看鄉民的歡樂留言,38週
300,金誠武,垃圾，操你媽的滾回大陸好嗎？,38週
301,Emily Wang,丟人現眼，最好永遠不要出來,38週
302,房明昌,教唆殺人嫌疑犯？？各大新聞版面是真的嗎？本人不回應嗎？,38週
303,游翔,一臉看你就不是什麼好東西,哈哈哈 果然真的被我猜中了
304,黃小春,你有沒有懶覺啊？,逃兵 是男人嗎？
305,Danny Yu,請問你是叫哪個 大平台 的車？,38週
306,吳明憲,林培諭,對比起來，我願稱你為真男人
307,林培諭,吳明憲,人善才有人疼好嗎
308,謝敏,螢光幕前人模人樣,原來私下欺負平凡人
309,許宏偉,國內抖音他很有名氣 如果大家有國內抖音的朋友 趕快刷留言,38週
310,Rtope Ko,許宏偉,加油 王大陸，你沒錯
311,許宏偉,之後這帳號沒辦法看 會封號,38週
312,Jose Ganbaoni,打運將的友人有看到 私訊我 要輸贏都來 看誰後台比較硬,38週
313,王品,早就討厭這個爛渣豬狗不如的畜牲！希望你早日下地獄贖罪！操你媽的！,38週
314,Wen Sh Tseng,大陸人不受台灣法律約制,38週
315,Scott La,不會開車門我可以教你喔,38週
316,Vanness Wang,歪瓜裂棗都能當藝人,38週
317,Chia Chun Kuo,行為果然很大陸，可憐啊,38週
318,Pang Liu,·,追蹤
319,彭小,退出演藝圈,38週
320,Sato Masake,請問一下。為什麼不會開特斯拉的門？,38週
321,錢龍來,哈哈哈哈,38週
322,葉明杰,楊鎮銘,覺得害羞
323,林奕辰,鄭詩諭,不 豬大哥沒死
324,Chirs Yi,Sato Masake,我也不會！可是我不會教唆傷人
325,吳茂郡,可憐,38週
326,吳茂郡,所以為什麼要逃兵 爛草莓,38週
327,Li Emma,幸好本來就沒很喜歡你,38週
328,李文彬,你怎麼要打死人,38週
329,Cash Yang,烙人打司機，啊不就很屌,38週
330,張庭與,孤注一擲,38週
331,馬郁雯,滾回你的中國去吧王大陸不要繼續的在台灣了我們台灣沒有你這種有黑道背景混黑幫份子的人渣畜牲超級無敵的垃圾你最好是趕快滾蛋不要讓大家再看到你否則讓大家再看到你看到你那副德性一副流氓樣看到你就想吐趕快滾蛋吧,38週
332,潘那,你真的他媽去死一死 廢物,38週
333,張張,白悠,38週
334,Andrew Ma,你這個垃圾,38週
