comment_id,用戶名稱,留言內容,留言時間
164,田喆,Ryan Lin,狼人
165,田育綸,出來說清楚講明白,5週
166,David Son,閃兵仔安靜啦,5週
167,姚志亮,你在群組裡面嗎?,5週
168,鐘聰盛,感覺沒有很大咖啊！？,5週
169,古明泓,卡，看風向,5週
170,Lin Chou YU,置板凳,5週
171,鄒智翔,置板凳這裡有賣,雞排50
172,BK KB,鄒智翔,有賣這個嗎
173,Shiba Wei,天黑請閉眼,5週
174,王曉明,我跟我老婆賭一個月薪水，拜託千萬要是你,5週
175,Reset Yu,王曉明,你好像輸了
176,謝孟名,卡一下希望你不是狼人,5週
177,郭柏志,卡！,5週
178,Brady Chen,我跟我女友賭10萬是你 一定是你 零九,5週
179,キム イー,我老婆跟我賭十萬不是你⋯,靠你了⋯兄弟
180,頭號粉絲,Kuan Chii,你很容易出事欸 每次都有你 是人品有問題嗎
181,王志強,又是你?,5週
182,Vincent Ku,你最爛,5週
183,呂宜珍,Sorry,5週
184,郭業成,卡卡卡,5週
185,黃 智煜,我覺得是炎亞綸 支持09清白,5週
186,Yang Mei,卡,5週
187,Ying Hsuan Chen,卡,5週
188,愛嚼檳榔的哲哲,陳零九 Nine Chen,對不起
189,曾善偉,安迪沒說….但大家都知道…..,5週
190,李淇,單冰注意,～
191,陳晴,因為Andy 老師，才知道⋯來看看是誰,5週
192,曾志傑,逃兵仔沒GG真丟臉,，過氣藝人陳零九
193,柏一,我來卡位了 這裡好熱鬧,5週
194,Heyley Yan,·,追蹤
195,鄭羽程,卡板凳,5週
196,蘇敬堯,請問這裡排隊嗎,5週
197,Huang Athena,蘇敬堯,先生您好，有紅龍跟著後面的人排隊即可
198,郭志翔,現場人山人海 有椅子嗎？ 我忘記帶椅子,5週
199,陳彥霖,陳怡樺,5週
200,陳和祺,其實當兵真的沒這麼恐怖啦，想要害人比較恐怖,5週
201,李佳駿,置板凳,5週
202,張英傑,李捷名,魚板
203,魚板,張英傑,？
204,姜森護,+0好朋友09,5週
205,楊宗憲,精彩節目即將登場…ㄧ個口令，ㄧ個動作、置板凳..,5週
206,謝祈叡,排隊領雞排,5週
207,薛小白,5週,讚
208,朱國彰,請問你有加入家寧公關危機群組嗎,有的話我也想加入
209,Jessie Chou,就是你了 逃兵又抹黑,5週
210,翁錦祥,卡,5週
211,黃世光,你很跩是嗎,5週
212,張廷峰,先坐@.@,5週
213,Shun Di,置板凳,5週
214,林彥川,又是你嗎？,5週
215,蔡柚子,林小妏,笑死這邊好精彩 負面新聞第一聯想
216,蔡柚子,亞洲09對不起～～,5週
217,林宏傑,我來卡一下,5週
218,Austin Zheng,挖~是傳說中的知名藝人欸！,你今年還真是流年不利、小人暗算
219,攸得室內裝修有限公司,這裡好熱鬧，爆米花2包可能都不夠！！,5週
220,陳東暘,又是你這咖小….,5週
221,Daniel Su,6三小 可悲,5週
222,葉宗翰,不卡不行 大家都說是你 講難聽一點打一篇文澄清不用5分鐘啦 就是來看你怎麼說的,5週
223,杜晉國,5週,讚
224,劉小家,卡位知名藝人,5週
225,Hsieh Shih Hung,5週,讚
226,黃義翔,加油,5週
227,黃義翔,Andy老師,有人找你
228,Elijah Saltzman,置板凳,5週
229,李建德,九哥 怎麼又有你的局了,5週
230,李建德,卡,5週
231,Xiaoliang Liu,聽說六點就下班了嗎,5週
232,張銓誠,卡,5週
233,Huang Wei,+0 好用嗎？,5週
234,陳孟霖,置板凳準備爆米花,5週
235,何恭翰,徐偉惇,5週
236,徐偉惇,何恭翰,5週
237,陳睿騏,段士婷,看留言
238,Abby Lu,準備再下去囉～,跟張家寧一起下去
239,周渂暐,椅子,5週
240,Wang Parsons,先來卡,5週
241,陳俊瑋,卡卡卡,5週
242,Ming Shih Tsai,群組那個人是不是你？,5週
243,王慶元,爆米花已準備,5週
244,Ch Lss,該不會又是你吧？,5週
245,周子皓,給個位子放椅子,5週
246,林世勳,抵制不良藝人，支持Andy老師,5週
247,Wei Chen,有夠洗力,5週
248,湊歐米茄,應該不是你 畢竟影片裡說的是知名男藝人,5週
249,沈耕霆,9409嗎？,5週
250,Tseng Chang-chih,Elliot Yu,海景第一房
251,Yi Xuan,垃圾零九 死全家好啦,5週
252,Dennis Yang,卡,5週
253,鐘陞,怎麼了怎麼了,5週
254,黃紘,各位不要擠 留個位置給我,5週
255,愛嚼檳榔的哲哲,腦殘專科李醫師,吳泓叡
256,Dennis Lin,置板凳，韭是你嗎？,5週
257,Zong-ru Xie,卡,5週
258,錢難有,她是不是很雷？,5週
259,Chao Zhuang,真的是女雷神ㄟ 雷情人 雷家人 雷隊友,5週
260,雷恩,聽我口令！置板凳！,好！
261,杜晉國,雷恩,上一動
262,William Ou,歐米,置板凳 副業很多 （知名藝人？）
263,陳博鈞,卡位，又是你,5週
264,Alan Chen,卡,5週
265,劉嘉興,Alan Chen,卡
266,蔡宗翰,卡位一下，應該快要燒來這裡了,5週
267,Berry Red,我來看留言的，有新聞後續可以艾特我嗎謝謝大家♡,5週
268,詹依蓉,是你嗎？,5週
269,Chun-Chieh Lu,卡,5週
270,貝多亨,卡 看好戲,5週
271,Tak Ming Cheng,卡知名男藝人,5週
272,Hsien Hsien,？？,5週
273,Rhett Lee,是不是你啊,5週
274,Paggy Lin,我來卡位看翻車,5週
275,Jimmy LI,網路上說+0網軍94 09,我來卡位觀09 484 0
276,錢津萊,果然人山人海⋯又繼續爆紅了,5週
277,許憲,你今天popo了嗎,5週
278,李尚璘,置板凳中……看好戲,5週
279,魏建星,逃兵仔,5週
280,Amos Mao,還不知道是不是你 但是我先放椅子,這邊發道歉文
281,Amos Mao,不是你的話我會在這篇下方道歉喔 希望真的不是你啦,5週
282,陳興州,卡,5週
283,Zong-Xian Xie,Zong-ru Xie,5週
284,上戶賴,置板凳！秋九,5週
285,Shinu Liao,先卡一個真相，畢竟還沒確定是陳先生，不過來都來了順便祝福一下,祝福張家寧曾淑惠張國龍張晉嘉張家芸全家，
286,Tea Yup,媽的怎麼又有你,5週
287,揚裕,家寧有找你嗎？,5週
288,陳柏宏,逃兵不可怕，可怕的是是否有在當人家的軍師？,5週
289,劉阿斗,九是你嗎？,5週
290,林旺,置板凳！,5週
291,Ke-Tsan Wei,⋯⋯什麼爛事都有你耶,5週
292,Bron Le,卡,5週
293,葉雅玄,5週,讚
294,Ping Ping Pai,張家寧有到場支持你嗎,5週
295,曹峻瑋,好熱鬧呀！,5週
296,李忠弈,卡,5週
297,林大鈞,我是覺得 大家要先理智一點 又還不確定是誰,5週
298,楊岱霖,蕭宇彤,5週
299,謝小米,·,追蹤
300,阿瓜,Nan JL,謝謝你
301,頭號粉絲,Nan JL,Sung Shangchian
302,林圣哲,黃立成,你看不懂他说什么吗 他说这根本不是知名艺人啊。
303,洪小樂,Kuan Chii,但還是看證據 因為遲早會曝光
304,王曉明,Reset Yu,我原本還想說些什麼，我老婆自己把網銀打開自己轉過去了
305,許家漢,Brady Chen,你輸了
306,許家漢,キム イー,你贏了，知名真的不可能是他
307,李方維,湊歐米茄,我也覺得光憑這條件就不是了，怎麼大家都說是阿九，他又不紅
308,宮脇伊織,愛嚼檳榔的哲哲,被
309,廖主委,愛嚼檳榔的哲哲,這我本人
310,三角函數,愛嚼檳榔的哲哲,我是戴口罩的
311,Ping Ping Pai,Amos Mao,絕對是拉！他當時閃兵，也在節目上說他有當兵啊
312,Chin Syc,陳零九 Nine Chen,嗨！人渣
313,Dean,置板凳！,5週
314,Arielle YH,問題一堆？,5週
315,Cheng Yi Su,卻刪不掉那犯過的錯留下的記號,5週
316,林好皮,又是你09割,5週
317,潘正綱,+0的口技一定很好,5週
318,蔡文權,5週,讚
319,Louis Liu,加密貨幣 閃兵 看來又要再翻一次了,哇你這麼會翻 跳breaking 喔
320,曾媞嫣,知名藝人是？,5週
321,Goodo Tha,曾媞嫣,应该是他了
322,Dondon Lin,聽說這裡會有很多人，我,就來了
